record_id,given_name,family_name,DOB,sex,phone_number,household_street_address,household_zip,parent_given_name,parent_family_name,parent_email
19443303,ALICIA ELISA,DELACRUZ,2010-11-08,F,3036940947,12536 W TEMPLE DR,80465-1740,CESAR AGUSTIN,DELACRUZ,EGRESADOS@ETCAR.ORG
19441419,HANNAH MIRANDA,DOWNING,2012-07-02,F,,2206 S TENNYSON ST,80219-5120,MORRIS JERROLD,DOWNING,J.BROUNS@DOORTRAINING.COM
19442766,JAVIER DAVID,CASTILLO,2009-10-30,M,,6402 SIMMS ST APT 5,80004-2627,LUDMILA HANA MARIJA,AMBORS,AOH@ALZLA.ORG
19441221,MADELINE REANNA,HODGE,2013-09-29,F,3036523024,3801 S MALAYA CT,80013-7484,RONALD LINTON,HODGE,FIONNUALA@DAILYEDGE.ORG
19442511,JALEN IAN,SAIZ,2010-10-18,M,3039049882,20712 E 38TH PL,80249-8163,VIRIDIANA MARISOL,PADILLA,LORENA_IRIDIAN@HOTMAIL.ORG
19439028,DR ELLEMIEK,VANKOOTEN,2014-02-24,F,3032270067,57 LANSING ST,80010-4606,MAT DIRK,VANKOOTEN,360MARAMA@GMAIL.COM
19438306,NICHOLAS D'ERICK,LAMB LAMB,2012-10-05,M,3034449238,14006 22ND PLACE,80011-4232,ELVIS LARRY ROGER,LAMB,ELVISLIVES4EVER@GMAIL.COM
19439879,EMMA YASMIN,TAYLOR,2010-08-06,F,,5576 VANCE ST,80116-8586,DR. MICHELLECARMEN MARIA,TAYLOR,BAETTINGONYOU@NATE.COM
19443768,CALEY ANN,OWENS,2014-09-21,F,3039379378,1445 CLEMSON DR,80503-2261,SILVER KYLA,OWENS,ASILVERMAN@NPR.ORG
19438760,KASEY ERIN,EMRICH,2010-02-10,F,3039990543,6016 PIERCE ST,80003-5367,"MATTHEW ,DORAN",EMRICH,DORAN_PACK@GMAIL.COM
19443669,BRADEN DENIS,BLOOM,2010-01-30,M,3034449238,3035 S BISCAY ST,80013-2317,MADICKEN BEATRICE,BLOOM,CCAO@PARADIGMAGENCY.COM
19441014,STACY KYLE,WHITE,2009-10-19,F,3032483765,750 S FEDERAL BLVD APT 303,80219-3461,SHELDON LEWIE,MEAKINS,ESTELAMORA@EARTHLINK.NET
19437909,LIAM WARREN,SCOTT,2013-02-12,M,3033888160,7550        COORS ST,80005-2847,ANNIE GRACIE,SCOTT,ANNIEGRACESCOTTXXX@AOL.COM
19443438,KENIA MARIA,MONTES TERRAZAS,2009-07-11,F,3034718137,9050 RALEIGH ST,80031-6448,DIETER CLEMENS,MONTES TERRAZAS,UDPDITT@UFRONTERA.NET
19443249,BRITANY CLARA,LOPEZ,2011-06-02,F,3038052012,10798 ALLENDALE DR,80004-4677,RUARC KENNY,MCCALL,ERICA@PROCHOICECT.ORG
19442802,KATHERINE DANIELA,CISNEROS,2013-12-05,F,3034223442,65300 E 26TH AVE,80103-8571,SEBASTIAN ADAN,CISNEROS,BELFASTGIANTS@KUKRISPORTS.COM
19440288,SAMUEL RICHARD,MARKO,2010-09-29,M,3032805579,14814 E CRESTRIDGE DR,80015-4296,FRUZSINA CINTIA,MARKO,FABR@LULUZINHACLUB.COM
19443477,FRANCISCO GUILLERMO,ENCISO,2012-09-06,M,3034425627,5794 S HANNIBAL WAY,80015-4250,CONCHITA LUNA,ENCISO,PALENCIA@JUCIL.EDU
19441827,AUTUMN ROSE,HOWARD,2011-07-22,F,3032589272,1700 W 85TH AVE APT 303,80260-5029,OANH DUYEN,HOWARD,BRIAN@SINCLAIR.NET
19440117,DESEAN NASIH,MUSON,2009-06-25,M,7202694074,823 GOOD HOPE DR,80108-9075,DEMET MILEN,MUSON,WEBMASTER@PETITIES.COM
19438218,DANIEL IGOR,CORTES,2014-10-23,M,7207489491,8790 ALLISON DR APT A,80003-5812,DANIEL JOAQUIM,CORTES,D.J.C.CORTES@GMAIL.COM
19443876,SEAN KAI,PIPER,2009-02-28,M,3033469319,5528 S IRIS ST,80123-7416,WILLOW CARAGH,PIPER,BFENNELL@WICKLOWPARTNERSHIP.EDU
19443135,JACOB ULISES,QUEZADA,2009-07-12,M,3032871390,13644 W 86TH DR,80005-5852,CATALINA WARA,QUEZADA,SALALATINA@PUBLICITAME.EDU
19440801,EDWARD WINTON,BOWDEN,2013-05-10,M,3034941453,5815 BLUE MOUNTAIN CIR,80503-2710,PATRICK WILLIAM,BOWDEN,PATRICK@PATRICKMUNOZ.COM
19440723,JACK MATTHEW,HARRIS,2010-04-01,M,3036008772,3432 W 25TH AVE,80211-4512,JOSH JACKIE,HARRIS,TARA@TARAHARRISON.NET
19439440,WALLACE SPENCER,GREENE,2015-04-07,M,7202046420,10132 WOODHAVEN RIDGE RD,80033-3145,GLENDA LYNETTE,GREENE,LY.GREENE@BAHIAESPECTACULOS.COM
19442226,IAN COINNEACH,MURPHY,2010-08-21,M,3037165828,6263 E PEAKVIEW AVE,80111-4325,JUSTIN BRAYDEN,MURPHY,BILL.MOHIN@ESNORTH.COM
19440159,KEENAN TESFALEM,WILSON,2009-09-03,M,3038404543,15794 W 71ST PL,80007-6901,CHRISTIAN PASCAL,WILSON,CHRISTIAN@ENVY.EDU
19437705,ROBERT ALBION,HAKE,2011-01-12,M,3033295821,12045 E MAPLE AVE APT B12,80012.0,FRANK QUEREMO,HAKE,ISAIDHAKENOTSAKE@GMAIL.COM
19440789,KERI MAY,TANNER,2011-01-27,F,3036605550,5741 E 123RD AVE,80602-9668,EMILY CHARIS,TANNER,EMIL@DN.COM
19437549,MAC KENZIE MNU,KARSON,2013-05-16,F,,LOWELL BLVD,80221-1028,FNU VERONICA,TORLA-LINDSEY,OBIEMUSIC@GMAIL.COM
19438234,CHRISTOPHER ARAZ,ARSENIAN,2014-02-07,M,3034996875,2591 S OLATHE WAY,80013.0,JACK VASBOURAG,ARSENIAN,ARSENIANBOYS@GMAIL.COM
19443336,ROSALINA AMELIA,ORNELAS,2014-05-26,F,3033334976,5407 CHEROKEE RD,80454-5034,MATTHEW ALEJANDRA,ORNELAS,MATTHEW@ORANGEBEACH.EDU
19440927,DOMINIQUE LANA,SMITH,2011-04-15,F,3034670152,880 NEWARK ST,80010-4162,JODIE HOLLY,EAST,EAST.HOLLY25@DIERENNOORDOOST.NET
19438928,MOYA KELSEY,ELDEN,2012-12-05,F,3032786753,9821 BRANCHWATER STREET,80129.0,MICHAEL REILLY GOGG,DALEY,THIAGOGH3@GMAIL.COM
19442421,MORGAN TAWNY,MCNALLY,2011-11-01,F,3039882484,9749 GATESBURY CIR,80126-8885,RIDDOCK AMBROS,MCQUEEN,LAURA.PIDCOCK.MP@PARLIAMENT.EDU
19440591,JAKE ARNO,PASCHKE,2013-08-29,M,3032806718,4575 BRENTWOOD ST,80033-3242,JOHN EKKEHARD,PASCHKE,JOHN@MCD.ORG
19440933,ZACHARY AINSLEY,JOHNSTONE,2009-10-14,M,,8759 S ADDISON WAY,80016-7808,OSMAN OSMAN,DARAMOLA,COMMS@ANGELAMORTIMER.COM
19441431,BETHANY ZERA,KING,2011-12-02,F,3036276703,2761 E 118TH CT,80233-1453,HABIBE MAKEDONKA,KING,MALAGA@LIBRES.COM
19438464,SPENCE,BIVRELL,2009-12-04,M,3037561574,2000 GRAY ST UNIT B,80227-4625,M. CURTISS JOHNANTH,BIVRELL,CURTIS@BLG.COM
19442391,CONNOR COWAN,DOWD,2013-05-11,M,3037638842,10530 ALBION ST,80233-3922,MURROUGH ROURKE,DOWD,GARUDA.GROUPS@BIRD.NET
19442037,ANDREW KERR,MARTIN,2009-08-23,M,3038563108,4646 S MARIPOSA DR,80110-5514,HENRIETTA ALINA,MARTIN,IG@ZURI.COM
19438400,ANDREAS,MULLEN,2012-01-15,M,,9788 SYDNEY LN,80130-7173,DAMIT AMAN,SANDLER-MULLEN,HIGHFLYER73@VERIZON.NET
19440471,CLAIRE EDELGARD,KANTOR,2014-06-19,F,,6845 S FIELD ST APT 203,80128-8019,PETRA MARIE,KANTOR,BMATA@ANTONIAN.ORG
19440858,ASHLEY DEE,WAYMAN,2009-01-13,F,3033534694,9535 SAINT PAUL ST,80229-3921,FENTON DANNY,WAYMAN,BOWLATHON@TRCCMWAR.NET
19443585,JOSHUA ARNALDO,MANZANARES,2009-01-13,M,,2637 STRATFORD LN,80503-1724,LUIS BENITO,MANZANARES,JUAN@MUSICALUNAR.ORG
19441938,ANNALISA CLARA,NEAL,2011-01-31,F,3039530220,6715 E UNION AVE UNIT 260,80237-3130,TIFFANY SADIE,STANDEN,NOE.TIFFANNEAU@LAPOSTE.NET
19441902,ASHTON CHRISTOPHER,KIRBY,2012-12-17,M,3034264180,1212 LEFTHAND DR,80501-6514,TEDDY NED,KIRBY,GP@MEDDOC.ORG
19443405,DIEGO GONZALO,SALAZAR,2010-07-14,M,,5543 MALTA ST,80249-8649,MANOLO CAMILO,SALAZAR,ONENATION@TEAMBAILAR.NET
19442832,ILSE BIANCA,BANUELOS,2011-11-07,F,3034491048,909 14TH ST APT 213,80302-7353,FRANCISCO RAFA,BANUELOS,OI@FRANCISCOALMEIDA.NET
19439536,FRANCESCA G,LUCERO,2014-08-25,F,3036178668,5647 S FOX ST APT A,80120-5423,RONALD-FEDERICO,L.,MUSIC@EVERYTHINGRNB.COM
19443030,JOCELYN LUCIANA,SANTAMARIA,2012-05-29,F,3037918578,205 IVY ST,80220-5865,MARIO ALBERTO,SANTAMARIA,ALBACERIA@SANTAMARIADELAVICTORIA.COM
19441956,CORDELIA TARA,LOWRY,2011-12-03,F,7208519099,2436 7TH ST,80304-3913,CURTIS ALEC,LOWRY,RIEKCURTIS@RSDMO.ORG
19441800,ASHLEY MELISSA,LOVE,2012-01-01,F,3034215688,5991 E PRINCETON AVE,80111-1030,CRISPIN RAFE,WHITE,BARRY@FADE.EDU
19436384,DEVONTAE DEMSAS,GUNN,2010-08-23,M,3039202664,7110 S GAYLORD ST APT R1,80228-3653,MUHSIN UNK,GUNN-SMITH,SEGURIDAD.ZONADEEMPLEO.CARACAS@GMAIL.COM
19439640,MICHAELA YVETTE,REIDER SANDERS,2003-01-06,F,3039481434,17003 AMBERSTONE WAY,80134,HEIDI JANA,REIDER-SANDERS,GODDESSJAZMIN3@GMAIL.COM
19443027,DANIEL IAN,VILLALOBOS,2011-01-30,M,,4500 19TH ST LOT 546,80304-0667,DANIEL FACUNDO,VILLALOBOS,DANIEL.AVILA@NITRADO.NET
19440414,HANNA OLGA,ROSHAK,2014-07-15,F,3036831738,1601 IOLA ST,80010-2337,CAREN MARGRIT,ROSHAK,BIBLIOTECA@RENEDODEESGUEVA.EDU
19437671,JARED LEE,HAWKINS,2009-07-25,M,,3456 FRIENDSHIP       RD.,80239-5679,HARVEY SELW,HAWKINS,JAMI@UDFACTORY.COM
19443411,ALIZAE AGUSTINA,GRIMALDO,2011-08-13,F,3036370359,2331 ALTON ST,80238-2767,LIBERTO GABRIEL,GRIMALDO,ALBERTO@XANAS.COM
19442925,MIRANDA FATIMA,TORRES,2010-02-23,F,3034274525,605 DUDLEY ST,80215-5406,JOAQUIN MANUEL,TORRES,
19443213,ANGELA GABRIELA,PARRA,2009-09-30,F,3038057620,6792 MOORE ST,80004-1481,DIANA LUCIA,PARRA,BHOLANATH.SHAW@VIKRAMSOLAR.COM
19439026,DEREK YASAR,ZANDER,2009-01-01,M,3036605347,844 EASTER ST,80219-1628,BENJAMIN V,ZANDER,PABLO_KHUMALO@LIVE.COM
19439482,MATEO MOISES,MADRID,2008-08-19,M,3034600091,6996 S CHAPPARAL CIR W,80016-2105,MARISOL JAVIERA,MADRID FLOR,SIERRAMNT_DREAMS@GMAIL.COM
19442937,EDWIN LORENZO,ARREOLA,2013-03-07,M,3037669695,7741 S RACE ST,80122-3134,LUZ TARA,ARREOLA,JAWZUH@RAPE.ORG
19443279,ALEJANDRO OSVALDO,PORTILLO-ALMEDA,2010-06-10,M,3036634174,6035 CARR ST,80004-5405,JOSE CRISTIAN,PORTILLO-ALMEDA,
19443729,CAIT XENIA,LAPERLE,2012-06-29,F,,3800 S JULIAN ST APT E33,80236-6138,CEDRIC JASON,BENOIT,AGNES@IMAGEFORM.NET
19440360,BECKY DORIS,BRUNER,2009-11-30,F,3032779033,3696 PECOS TRL,80109-4595,WOLFGANG CARL,BRUNER,BASHIRHONG@TLNET.ORG
19438879,RILEY JENNA,BERGQUIST,2011-03-03,F,3039040567,1600 WINTER AVE,80239-6418,REBECCA OLGA,BERGQUIST,PRODUCTS@CADPROD.COM
19441104,TYLER BRIAN,RIGHTSELL,2009-02-28,M,7205355030,10050 DARWIN LN,80130-6847,JUSTINE CHRISTINA,RIGHTSELL,SMINTER@NCLRIGHTS.ORG
19442319,MADISON ERINA,MOYLE,2013-06-03,F,3039791628,12336 COLORADO BLVD APT 5-525,80241-4216,SHANLEY AULEY,MOYLE,STANLEY@SPEC.COM
19438174,CAMERON ALLAN,PINES,2013-07-02,M,,6697 SOUTH-KILLARNEY CT,80016-1121,MICHAEL-CEDRIC,PINES,MPINES2013@GMAIL.COM
19441449,REBEKAH LIZZIE,JENKINS,2011-06-21,F,3037944835,2844 W ARCHER PL,80219-2104,TERENCE CROSBY,JENKINS,REFERENCE@MORSEINSTITUTE.ORG
19438092,FERNANDO,GUTIERREZ,2011-08-15,M,3032898594,15520 E CENTER AVE. D203,80017-6661,JUAN MATE0,GUTIERREZ,CHAPIPIPI1225@GMAIL.COM
19441011,TAMARA ROSIE,TALBOTT,2011-10-02,F,3036610375,716 3RD ST,80104-2530,TAMMY ABBIE,TALBOTT,CONTACT@ASTRALBOUND.COM
19440654,THOMAS BERNHARD,BAUER,2009-05-30,M,,2264 IOLA ST,80010-1242,HARTWIG TOMAS,BAUER,L.CARRUTHERS@YUSU.ORG
19443606,TERRENCE JELANI,HOBBS,2010-09-30,M,3032520132,6910 LEYDEN ST,80022-2642,REILLY DAVID,KETTERMAN,BAHF@MANCHESTERMIND.ORG
19441479,LOGAN PHILO,MARCHANT-MANSFIELD,2014-04-28,M,3037502926,12960 KNIGHT CT,80020-5424,STEPHEN CLYDE,MARCHANT-MANSFIELD,STEPHEN@SELECTMUSIC.COM
19440504,DREW MANFRED,SCHULZE,2014-08-13,M,3039933460,2700 DECATUR ST APT 462,80211-4372,DIETER DIRK,SCHULZE,DANIEL@STEIGERWALD.COM
19442898,ALYSSA ROMINA,CORDOVA,2010-08-07,F,3036889167,14783 E 25TH AVE,80011-2957,ANITA SAMANTHA,CORDOVA,BOOKING@STARZRECORD.COM
19443369,DANIEL BRUNO,ARVIZO,2014-01-10,M,3039530761,21344 WHITE PINE CT,80138-6310,JOSEFINA RAMONA,ARVIZO,HOUSEFINANCE@AKLEG.NET
19442028,MITCHELL RENFRED,BRUNDAGE,2014-04-26,M,3033464848,1433 S LIMA ST,80012-4126,ALEC CLIFFORD,BRUNDAGE,NORBERT.KLEINWAECHTER@BUNDESTAG.NET
19443687,AUSTIN OSMAN,ANDERSON,2010-07-06,M,,9166 MORNINGTON WAY,80124-5600,KLARA AJLA,ANDERSON,TRANSSALAMANDER@MASTODON.NET
19441302,JAKE MARSH,VERNON,2013-01-14,M,3036664932,6622 MARSHALL ST,80003-4028,LEXI MILDRED,VERNON,DONALEXI@SEZNAM.ORG
19442505,MAXWELL JULIO CESAR,LOPEZ,2009-02-01,M,3034308914,8096 S KALISPELL WAY,80112-4636,CATALINA RAMONA,LOPEZ,HITLERA@STALINA.ORG
19439582,ERIN ELISE,FORDE,2010-06-23,F,3033666160,3981 SIMPSON ST,80013-4236,SAMANTHA MNU,RICHARDS,SAMRICKYRICK@HOTMAIL.COM
19441131,EVAN DEL,BLAKELY,2010-06-26,M,3039481287,1855 KEOTA LN,80027-8116,DARLENE DEIRDRE,BLAKELY,PUJA@PEARLENTERTAINMENT.NET
19440222,BREANN ANNIE,OLMSTED,2012-09-02,F,3038500257,1476 S KIO ST,80137-8807,JON ELVIS,CARLSON,WMCDONALD@TBCARAMS.ORG
19439272,VIRGINIA M,FORDE,2014-10-06,F,3036654812,16 LOWELL BLVD,80221,DENNIS STEPHEN,MILLS FORDE,STEVE@ENHANCEDMUSIC.COM
19441524,BENJAMIN RAPHAEL,PARKER,2012-02-03,M,3038408058,4785 FILLMORE ST,80216-2912,ROCKY MONTY,PARKER,NEWMEMBERS@CROYDONHARRIERS.COM
19442250,PAIGE EILENA,MAGUIRE,2013-08-22,F,,3180 AIRPORT RD,80301-2208,DARROCK PIERCE,MAGUIRE,IHEARTJROCK@VALLEYFREERADIO.ORG
19437762,JADE MAY,REIMAN,2009-06-06,F,3036042256,####4664 16TH ST,80304-2372,"CEDRIC ""RICKY"" OSTAP",REIMAN,LILIESANDFEATHERS@GMAIL.COM
19441233,STACEY URSA,DOBBINS,2010-04-28,F,7202838859,544 FILLMORE ST,80206-4326,JEAN MILLIE,DOBBINS,MARK@MARKROBBINS.ORG
19437597,NOAH KLAUS,MESECK,2012-04-20,M,,320  E 34H PL,80020.0,EMMA MNU,RABE,EINSTEINWRITERS@GMAIL.COM
19437546,BRETT AYDIN,JACKMAN,2011-09-19,M,,2821 S EATON,80227.0,JAY.,JACKM,SECRETARY@BCNWA.ORG
19440990,DHILLON MORTIMER,GREENE,2013-03-02,M,3032553033,771 S 6TH AVE,80601-3211,BROOKE MAUD,REED,MWESTBROOK@ETBU.EDU
19439060,MIRANDA LIL,MC-CLURE,2010-05-11,F,3036377789,11071 LONG PINES,80125-9291,LARA KAY LA,HENDERSON,CANASTAR18@HOTMAIL.COM
19441683,LAUREN ALMA,HANSON,2011-05-27,F,3039977353,2284 S ORCHARD ST,80228-6471,RONALD CRISPIN,CHANCE,MAMONDE_B@HANMAIL.NET
19440720,CELESTE BERTHA,BRADFORD,2010-07-25,F,3037663313,998 S SAULSBURY ST,80226-4514,MELINDA PRUDENCE,BRADFORD,EMCCUMMINGS@RADFORD.EDU
